2021-07-13T22:00:28+02:00
Running ./benchmark
Run on (8 X 3900 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.19, 0.38, 0.51
----------------------------------------------------------------------------------------
Benchmark                                              Time             CPU   Iterations
BM_lmv_2d_vectorized_blocked<4, 32, 4>/4096/1       84.7 ms         84.6 ms            8
BM_lmv_2d_vectorized_blocked<4, 32, 4>/8192/1        366 ms          366 ms            2
BM_lmv_2d_vectorized_blocked<4, 32, 4>/64/3        0.017 ms        0.017 ms        41789
BM_lmv_2d_vectorized_blocked<4, 32, 4>/128/3       0.070 ms        0.070 ms         9737
BM_lmv_2d_vectorized_blocked<4, 32, 4>/256/3       0.293 ms        0.293 ms         2376
BM_lmv_2d_vectorized_blocked<4, 32, 4>/512/3        1.20 ms         1.20 ms          582
BM_lmv_2d_vectorized_blocked<4, 32, 4>/1024/3       6.67 ms         6.66 ms          100
BM_lmv_2d_vectorized_blocked<4, 32, 4>/2048/3       29.6 ms         29.6 ms           24
BM_lmv_2d_vectorized_blocked<4, 32, 4>/4096/3        126 ms          126 ms            6
BM_lmv_2d_vectorized_blocked<4, 32, 4>/8192/3        547 ms          546 ms            1
BM_lmv_2d_vectorized_blocked<4, 32, 4>/64/5        0.028 ms        0.028 ms        25434
BM_lmv_2d_vectorized_blocked<4, 32, 4>/128/5       0.120 ms        0.120 ms         5836
BM_lmv_2d_vectorized_blocked<4, 32, 4>/256/5       0.509 ms        0.508 ms         1372
BM_lmv_2d_vectorized_blocked<4, 32, 4>/512/5        2.15 ms         2.14 ms          326
BM_lmv_2d_vectorized_blocked<4, 32, 4>/1024/5       9.05 ms         9.03 ms           77
BM_lmv_2d_vectorized_blocked<4, 32, 4>/2048/5       43.2 ms         43.2 ms           16
BM_lmv_2d_vectorized_blocked<4, 32, 4>/4096/5        183 ms          183 ms            4
BM_lmv_2d_vectorized_blocked<4, 32, 4>/8192/5        805 ms          805 ms            1
